Title,Author,Objective,Methodology,Results,Recommendation,APA,Section,Verified?
Leveraging Imagery Data in Evaluations,World Bank Independent Evaluation Group,To guide evaluators on when and how satellite imagery can serve as evidence in the evaluation of development operations.,TO COMPLETE from full text,TO COMPLETE from full text,"Incorporate imagery as one evidence stream in project evaluation, with explicit statements of what it can and cannot establish.",World Bank Independent Evaluation Group. Leveraging imagery data in evaluations (Methods paper). World Bank Group. https://ieg.worldbankgroup.org/sites/default/files/Data/Evaluation/files/Methods_paper-Leveraging_Imagery_Data.pdf,Satellite evidence on public resources,CHECK CELLS / CITATION DETAIL
Remote Sensing: A Guide to Practitioners,World Bank,To provide operational guidance on applying remote sensing within development practice.,TO COMPLETE from full text,TO COMPLETE from full text,Match sensor and revisit cadence to the operational question before selecting an analysis method.,World Bank. Remote sensing: A guide to practitioners. World Bank Group. https://documents1.worldbank.org/curated/en/099255007072211554/pdf/P1704410d9fa370fd0b689008a8c0ee03d8.pdf,Satellite evidence on public resources,CHECK CELLS / CITATION DETAIL
Verification of Post-Tsunami Housing Reconstruction Projects by Object-Oriented Building Extraction from High Resolution Satellite Imagery,Authors to be confirmed,"To verify whether donor-funded post-disaster housing reconstruction was actually built, in support of financial accountability rather than disaster science.",Object-oriented building extraction applied to high-resolution satellite imagery over reconstruction sites following the 2004 Indian Ocean tsunami.,TO COMPLETE from full text,Use high-resolution imagery to independently verify the existence of donor-funded built assets where auditing and coordination were weak.,"Verification of post-tsunami housing reconstruction projects by object-oriented building extraction from high resolution satellite imagery. [Authors, year and venue to be confirmed — ResearchGate blocks automated retrieval.] https://www.researchgate.net/publication/264003028",Verification of built projects,CHECK CITATION + CELLS
Detection of New Construction Activities with Sentinel-1 and Landsat Time Series,"Gu, H., Tang, X., Cho, K., Acord, A. J., Rasmussen, P. G., Bosch, M., & Woodcock, C. E. (2026)",To detect the construction of new buildings using freely available radar and optical satellite time series.,"Time-series analysis of Sentinel-1 SAR backscatter, exploiting the increase in radar return produced by corner reflectors on new structures, integrated with the output of a previously developed Landsat-based change detection algorithm.","The Sentinel-1 result achieved an F1 score of 0.83 (recall 0.87, precision 0.79). Integrating the Sentinel-1 and Landsat results raised performance to F1 = 0.84 (recall 0.86, precision 0.81).","Where target structures are small relative to optical pixel size, use SAR backscatter time series rather than optical spectral indices, and fuse sensors rather than relying on a single one.","Gu, H., Tang, X., Cho, K., Acord, A. J., Rasmussen, P. G., Bosch, M., & Woodcock, C. E. (2026). Detection of new construction activities with Sentinel-1 and Landsat time series. Remote Sensing Applications: Society and Environment. https://www.sciencedirect.com/science/article/abs/pii/S2352938526000261",Change detection methods,CHECK CELLS / CITATION DETAIL
S2Looking: A Satellite Side-Looking Dataset for Building Change Detection,"Shen, L., et al. (2021)","To provide a building change detection benchmark that reflects realistic satellite acquisition conditions, including off-nadir viewing angles, rural scenes and large illumination variance.","Construction and annotation of 5,000 bitemporal satellite image pairs of rural areas worldwide, captured at varying off-nadir angles, containing more than 65,920 annotated change instances; benchmarking of existing deep-learning change detection models against the dataset.","Deep-learning algorithms found S2Looking significantly more challenging than the closest-competing near-nadir dataset, LEVIR-CD+, demonstrating that side-looking geometry, illumination variance and rural context materially degrade change detection performance.","Evaluate change detection models on off-nadir, rural benchmarks before assuming they transfer to operational settings outside dense urban areas.","Shen, L., Lu, Y., Chen, H., Wei, H., Xie, D., Yue, J., Chen, R., Lv, S., & Jiang, B. (2021). S2Looking: A satellite side-looking dataset for building change detection. Remote Sensing, 13(24), 5094. https://doi.org/10.3390/rs13245094",Change detection methods,CHECK CELLS / CITATION DETAIL
A Spatial-Temporal Attention-Based Method and a New Dataset for Remote Sensing Image Change Detection (LEVIR-CD),"Chen, H., & Shi, Z. (2020)",To provide a large-scale very-high-resolution building change detection benchmark and a model robust to irrelevant changes such as illumination and seasonal variation.,"Assembly of LEVIR-CD: 637 very-high-resolution (0.5 m) bitemporal image patch pairs of 1024x1024 pixels from 20 regions, annotated with 31,333 individual building change instances; proposal and evaluation of a spatial-temporal attention neural network.","The attention-based network improved discrimination between genuine building change and irrelevant change relative to baseline methods, and LEVIR-CD became a standard benchmark for the task.","Model irrelevant change explicitly, and benchmark on very-high-resolution bitemporal data where the structures of interest are resolvable.","Chen, H., & Shi, Z. (2020). A spatial-temporal attention-based method and a new dataset for remote sensing image change detection. Remote Sensing, 12(10), 1662. https://doi.org/10.3390/rs12101662",Change detection methods,OK
Broad-Area Search of New Construction Using Time Series Analysis of Landsat and Sentinel-2 Data,Authors to be confirmed (2024),To identify new construction over large areas using freely available optical satellite time series.,TO COMPLETE from full text,TO COMPLETE from full text,Use dense optical time series for broad-area construction search where high-resolution tasking is unavailable.,Broad-area search of new construction using time series analysis of Landsat and Sentinel-2 data. (2024). Science of Remote Sensing. [Authors to be confirmed.] https://www.sciencedirect.com/science/article/pii/S2666017224000221,Change detection methods,CHECK CITATION + CELLS
Monitoring Construction Changes Using Dense Satellite Time Series and Deep Learning,Authors to be confirmed (2024),To monitor construction progress using dense satellite time series combined with deep learning.,TO COMPLETE from full text,TO COMPLETE from full text,Combine temporal density with learned representations where single-date imagery is insufficient to establish change.,"Monitoring construction changes using dense satellite time series and deep learning. (2024). Remote Sensing of Environment. [Authors, volume and pages to be confirmed.] https://www.sciencedirect.com/science/article/abs/pii/S0034425724002256",Change detection methods,CHECK CITATION + CELLS
SAR Coherence Change Detection of Urban Areas Affected by Disasters Using Sentinel-1 Imagery,Authors to be confirmed (2018),To detect disaster-related change in urban areas using interferometric coherence from Sentinel-1 rather than optical imagery.,Interferometric coherence computed from Sentinel-1 image pairs before and after events; coherence images classified into change and no-change; statistical analysis performed by aggregating to street blocks and computing the standard deviation of coherence across the whole image stack.,Calculating the standard deviation of coherence over time and aggregating it into street blocks improved overall accuracy and reduced false positives compared with differencing a single image pair.,"Aggregate coherence spatially and characterise its variability across a stack, rather than relying on a single before-and-after coherence difference.","SAR coherence change detection of urban areas affected by disasters using Sentinel-1 imagery. (2018). The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences, XLII-3, 1857-1861. [Authors to be confirmed.] https://isprs-archives.copernicus.org/articles/XLII-3/1857/2018/isprs-archives-XLII-3-1857-2018.pdf",SAR methods,CHECK CITATION + CELLS
Coherence Change-Detection with Sentinel-1 for Natural and Anthropogenic Disaster Monitoring in Urban Areas,Authors to be confirmed (2018),To apply Sentinel-1 coherence change detection to both natural and human-caused disturbance in urban areas.,TO COMPLETE from full text,TO COMPLETE from full text,Use coherence loss as an indicator of surface disturbance where cloud cover prevents optical observation.,Coherence change-detection with Sentinel-1 for natural and anthropogenic disaster monitoring in urban areas. (2018). [Authors and venue to be confirmed.] https://www.researchgate.net/publication/326040372,SAR methods,CHECK CITATION + CELLS
"Monitoring of Construction-Induced Urban Ground Deformations Using Sentinel-1 PS-InSAR: The Case Study of Tunneling in Dangjin, Korea",Authors to be confirmed (2022),To monitor ground deformation caused by underground construction using persistent scatterer interferometry.,"PS-InSAR analysis of Sentinel-1 data over a tunnelling site, tracking spatial and temporal progression of ground motion against construction phases.",Sentinel-1 PS-InSAR successfully tracked ground subsidence induced by underground construction and resolved its progression across construction phases.,Use PS-InSAR where the quantity of interest is ground deformation rather than the appearance of a surface structure.,"Monitoring of construction-induced urban ground deformations using Sentinel-1 PS-InSAR: The case study of tunneling in Dangjin, Korea. (2022). International Journal of Applied Earth Observation and Geoinformation. [Authors, volume and pages to be confirmed.] https://www.sciencedirect.com/science/article/pii/S0303243422000472",SAR methods,CHECK CITATION + CELLS
AI Super-Resolution of Satellite Imagery,European Commission Joint Research Centre,To assess the reliability and operational limits of AI-based super-resolution applied to satellite imagery.,"Technical review of AI super-resolution methods applied to Earth observation data, with attention to validation practice and failure modes.","Scaling factors above approximately 4x are generally avoided in operational Earth observation because the risk of generating hallucinated, non-existent detail increases with magnification.",Do not treat super-resolved imagery as evidence of physical structure; constrain magnification and validate against the downstream task rather than against spectral fidelity alone.,European Commission Joint Research Centre. AI super-resolution of satellite imagery (JRC143067). Publications Office of the European Union. https://publications.jrc.ec.europa.eu/repository/bitstream/JRC143067/JRC143067_01.pdf,Super-resolution reliability,CHECK CELLS / CITATION DETAIL
Hallucination Score: Towards Mitigating Hallucinations in Generative Image Super-Resolution,Authors to be confirmed (2025),"To define and measure hallucination in generative image super-resolution, where models synthesise plausible detail absent from the input.","Proposal of a hallucination-specific evaluation score for generative super-resolution outputs, distinguished from conventional fidelity metrics.","Conventional fidelity metrics do not detect hallucination, because a model that invents detail and remains consistent under downsampling satisfies them; a dedicated measure is required.","Validate super-resolution outputs with task-aware and hallucination-aware measures, since spectral or downsampling consistency checks are passed by hallucinating models.",Hallucination score: Towards mitigating hallucinations in generative image super-resolution. (2025). arXiv:2507.14367. [Authors to be confirmed.] https://arxiv.org/abs/2507.14367,Super-resolution reliability,CHECK CITATION + CELLS
Multi-Image Super-Resolution in Remote Sensing: A Review of Artificial Intelligence Techniques and Challenges,Authors to be confirmed (2026),To review AI techniques for multi-image super-resolution in remote sensing and identify obstacles to operational use.,Literature review of multi-image super-resolution methods and their validation practices in remote sensing.,"Hallucination hinders operational satellite application of super-resolution; no single best evaluation metric exists, validation must be tied to the downstream task, and physical constraints must be integrated for reliability.",Tie super-resolution validation to the specific downstream task and incorporate physical constraints rather than relying on generic image-quality metrics.,"Multi-image super-resolution in remote sensing: A review of artificial intelligence techniques and challenges. (2026). Advances in Space Research. [Authors, volume and pages to be confirmed.] https://www.sciencedirect.com/science/article/abs/pii/S0094576526002766",Super-resolution reliability,CHECK CITATION + CELLS
"Citizen Engagement in Public Services in Low- and Middle-Income Countries: A Mixed-Methods Systematic Review of Participation, Inclusion, Transparency and Accountability (PITA) Initiatives",Authors to be confirmed,To synthesise evidence on whether citizen engagement initiatives improve public service delivery in low- and middle-income countries.,"Mixed-methods systematic review covering participation, inclusion, transparency and accountability initiatives, including community report cards on infrastructure in Afghanistan, Indonesia and Colombia and citizen feedback loops in Guinea, Kenya and Uganda.",Citizen engagement improves service delivery conditionally rather than universally; effects depend on the institutional response mechanism rather than on the act of reporting alone.,"Design citizen reporting around an explicit routing or escalation rule to a responsible authority, since feedback without a response mechanism does not reliably change outcomes.","Citizen engagement in public services in low- and middle-income countries: A mixed-methods systematic review of participation, inclusion, transparency and accountability (PITA) initiatives. Campbell Systematic Reviews. [Authors, year, volume to be confirmed.] https://pmc.ncbi.nlm.nih.gov/articles/PMC8356537/",Citizen reporting,CHECK CITATION + CELLS
CommuniSense: Crowdsourcing Road Hazards in Nairobi,Authors to be confirmed (2015),To evaluate crowdsourcing as a means of collecting urban infrastructure condition data in a developing-city context lacking monitoring technology.,"Design and field deployment of a mobile crowdsourcing application for reporting road hazards in Nairobi, with evaluation of participation and data quality.",TO COMPLETE from full text,Leverage locally available resources such as mobile reporting where formal monitoring infrastructure is absent.,CommuniSense: Crowdsourcing road hazards in Nairobi. (2015). arXiv:1506.07327. [Authors to be confirmed.] https://arxiv.org/abs/1506.07327,Citizen reporting,CHECK CITATION + CELLS
"Crowdsourced Monitoring, Citizen Empowerment and Data Credibility",Authors to be confirmed (2014),To examine the credibility of data produced through crowdsourced environmental and infrastructure monitoring.,TO COMPLETE from full text,Data credibility is identified as the critical issue capable of undermining citizen-generated monitoring relative to expert and institutional data.,"Build explicit credibility mechanisms, such as corroboration thresholds, into citizen reporting systems.","Crowdsourced monitoring, citizen empowerment and data credibility. (2014). In Springer [volume title to be confirmed]. https://doi.org/10.1007/978-3-319-09129-7_35",Citizen reporting,CHECK CITATION + CELLS
Hydrological Response of the Pampanga River Basin to Intense Tropical Cyclones,Authors to be confirmed (2021),"To characterise how the Pampanga River Basin responds hydrologically to intense tropical cyclones, in support of disaster risk management.",TO COMPLETE from full text,"The Pampanga River Basin is the fourth largest in the Philippines, sits within the country's longest contiguous lowland plain, and experiences on average at least one flood event per year. Detailed modelling results to be completed from the full text.","Use basin-scale hydrological modelling to inform flood risk management, recognising that fluvial models do not cover every drainage or coastal flooding mechanism.","Hydrological response of the Pampanga River basin to intense tropical cyclones. (2021). Journal of Hydrometeorology, 22(4). [Authors and pages to be confirmed.] https://journals.ametsoc.org/view/journals/hydr/22/4/JHM-D-20-0184.1.pdf",Philippine context,CHECK CITATION + CELLS
Phil-LiDAR 1: Hazard Mapping of the Philippines Using LiDAR (DREAM Program),University of the Philippines Training Center for Applied Geodesy and Photogrammetry (UP TCAGP),To produce high-resolution three-dimensional flood hazard maps for Philippine river systems using airborne LiDAR.,"Nationwide airborne LiDAR acquisition and hydrological modelling under the DOST-funded DREAM and Phil-LiDAR 1 programmes, executed by UP TCAGP with fifteen partner higher education institutions; outputs distributed through the LiDAR Portal for Archiving and Distribution (LiPAD).","Flood hazard maps were produced for over 300 river basins, with technical reports covering data acquisition, methodology, pre-processing, validation and flood modelling for 262 basins, approaching nationwide coverage.","Consult LiPAD for basin coverage and, critically, for acquisition dates: a single LiDAR epoch establishes terrain at one moment and cannot by itself support before-and-after change detection over a later construction period.",University of the Philippines Training Center for Applied Geodesy and Photogrammetry. Phil-LiDAR 1: Hazard mapping of the Philippines using LiDAR. Department of Science and Technology. https://dream.upd.edu.ph/about/phil-lidar-1/,Philippine context,CHECK CELLS / CITATION DETAIL
Reforming Public Procurement in the Philippines: Progress and Constraints,Authors to be confirmed,To assess progress and remaining constraints in Philippine public procurement reform.,TO COMPLETE from full text,TO COMPLETE from full text,Address data-availability constraints in PhilGEPS before expecting standard procurement risk indicators to be computable nationally.,Reforming public procurement in the Philippines: Progress and constraints. International Public Procurement Conference (IPPC4) Proceedings. [Authors and year to be confirmed.] https://www.ippa.org/IPPC4/Proceedings/01ComparativeProcurement/Paper1-14.pdf,Philippine context,CHECK CITATION + CELLS
"Fraud Audit Reports on Flood Control Projects, DPWH Bulacan 1st District Engineering Office","Commission on Audit, Republic of the Philippines (2025-2026)","To determine, through fraud audit, whether flood control projects implemented by DPWH Bulacan 1st DEO between July 2022 and May 2025 were actually delivered as contracted and paid for.","Fraud audit procedures including site inspection by COA audit teams, review of supporting project documents and payment records, and corroboration using satellite imagery, covering flood control projects in the specified district and period.","Four Fraud Audit Reports were filed with the Office of the Ombudsman covering flood control projects reported in press coverage at values between approximately P275 million and P351 million. Recurring findings were non-existent structures at approved locations despite full payment, unauthorised relocation of projects to undocumented sites, payment for river walls constructed before the contracts began, and material deficiencies in supporting documents. Contractors named include SYMS Construction Trading and Wawao Builders.","Obtain the Fraud Audit Reports themselves rather than press summaries. They provide a partial, non-random validation set that can bound the precision of an audit-priority ranking, though not its recall, because the audited set was selected rather than sampled.","Commission on Audit. (2025-2026). Fraud audit reports on flood control projects of the DPWH Bulacan 1st District Engineering Office. Republic of the Philippines. [Primary documents to be obtained; see press coverage, e.g. https://www.bworldonline.com/spotlight/2026/02/16/730771/]",Philippine context,CHECK CELLS / CITATION DETAIL
Flood Control Projects Register,BetterGov.ph,"To publish a public, machine-readable register of Philippine flood control projects and their contractors.","Scraping and republication of DPWH infrastructure project records into an openly licensed dataset with map, table and contractor views; released publicly under CC0.","Over 12,870 projects worth more than P740 billion are published nationwide, forming the base register on which independent audit analysis can be built.","Treat the register as a data source rather than an analysis: it publishes what DPWH states, and does not check those statements for internal contradiction.",BetterGov.ph. Flood control projects. https://bettergov.ph/flood-control-projects,Philippine context,OK
GIST: Ghost Infrastructure Spectral Tracker,"Frago, T. D. (2026)","To detect ghost or mislocated flood control infrastructure in Bulacan, Philippines, from freely available satellite imagery.","Sentinel-2 optical imagery processed in Google Earth Engine over DPWH flood control project coordinates from the BetterGov dataset, validated against Commission on Audit findings for Bulacan.","The dominant detected signal was construction located approximately 150 metres from the contracted coordinate, indicating site displacement rather than absence of construction.","Distinguish site displacement from non-construction when interpreting imagery signals. Note for this thesis: a displacement result computed at 10 m resolution should be checked against whether the sensor can resolve the structure at all, rather than only the area around it.","Frago, T. D. (2026). GIST: Ghost infrastructure spectral tracker [Capstone project, Yale University Environmental Data Science]. https://github.com/tdfrago/yale-environmental-data-science-capstone",Framing and near neighbour,CHECK CELLS / CITATION DETAIL
Ghost Projects and the Ambiguity of Infrastructure Development,"Muller-Mahn, D., Kioko, E., & Aalders, J. T. (2026)","To theorise what ghost projects mean socially and politically, as unfulfilled promises of infrastructure development.",Conceptual and ethnographic scholarship; lead article of a Third World Quarterly special issue comprising twelve contributions.,"Ghost projects are analysed as a social and political phenomenon involving ruined futures and unfulfilled developmental promises. The collection addresses meaning and consequence, and does not propose a detection method.","Situate technical detection work within this theoretical framing, which supplies the concept but leaves the empirical detection problem open.","Muller-Mahn, D., Kioko, E., & Aalders, J. T. (2026). Ghost projects and the ambiguity of infrastructure development. Third World Quarterly. https://doi.org/10.1080/01436597.2025.2610335",Framing and near neighbour,CHECK CELLS / CITATION DETAIL
Ghost Projects or Mapping Failure? Contractors Push Back Over Glitches,Philippine Daily Inquirer (2025),To report contractors' contention that ghost-project findings arise from mapping and geolocation errors rather than from missing structures.,Opinion and news reporting on contractor responses to flood control project findings.,"Contractors argue publicly that discrepancies between recorded coordinates and observed structures reflect mapping failure rather than non-delivery, an alternative explanation that any coordinate-based flag must accommodate.","Word every finding as a documented inconsistency within the record rather than as an allegation of fraud, and provide an explicit right-of-reply mechanism.",Philippine Daily Inquirer. (2025). Ghost projects or mapping failure? Contractors push back over glitches. https://opinion.inquirer.net/188105/ghost-projects-or-mapping-failure-contractors-push-back-over-glitches,Framing and near neighbour,OK
